czas_ms,hallValue,rpm
czas_ms, voltage, rpm
15000,5.00,368.00
30000,5.00,448.00
45000,5.00,432.00
60000,5.00,440.00
75000,5.00,440.00
90000,5.00,436.00
105000,5.00,436.00
120000,5.00,440.00
135000,5.00,440.00
150000,5.00,440.00
165000,5.00,432.00
180000,5.00,440.00
195000,5.00,440.00
210000,5.00,440.00
225000,5.00,440.00
240000,5.00,440.00
255000,5.00,440.00
270000,5.00,432.00
285000,5.00,440.00
300000,5.00,296.00
315000,5.00,220.00
330000,5.00,220.00
345000,5.00,220.00
360000,5.00,220.00
375000,5.00,216.00
390000,5.00,220.00
405000,5.00,224.00
420000,5.00,220.00
435000,5.00,360.00
450000,5.00,444.00
465000,5.00,308.00
480000,5.00,216.00
495000,5.00,220.00
510000,5.00,240.00
525000,5.00,356.00
540000,5.00,440.00
555000,5.00,440.00
570000,5.00,440.00
585000,5.00,440.00
600000,5.00,440.00
615000,5.00,440.00
630000,5.00,440.00
645000,5.00,440.00
660000,5.00,440.00
675000,5.00,440.00
690000,5.00,440.00
705000,5.00,440.00
720000,5.00,440.00
735000,5.00,440.00
750000,5.00,440.00
765000,5.00,440.00
780000,5.00,440.00
795000,5.00,440.00
810000,5.00,440.00
825000,5.00,440.00
840000,5.00,440.00
855000,5.00,440.00
870000,5.00,440.00
885000,5.00,440.00
900000,5.00,440.00
915000,5.00,440.00
930000,5.00,440.00
945000,5.00,440.00
960000,5.00,440.00
975000,5.00,440.00
990000,5.00,440.00
1005000,5.00,436.00
1020000,5.00,436.00
1035000,5.00,440.00
1050000,5.00,440.00
1065000,5.00,440.00
1080000,5.00,440.00
1095000,5.00,440.00
1110000,5.00,436.00
1125000,5.00,436.00
1140000,5.00,440.00
1155000,5.00,440.00
1170000,5.00,440.00
1185000,5.00,432.00
1200000,5.00,440.00
1215000,5.00,432.00
1230000,5.00,440.00
1245000,5.00,432.00
1260000,5.00,440.00
1275000,5.00,436.00
1290000,5.00,436.00
1305000,5.00,432.00
1320000,5.00,440.00
1335000,5.00,432.00
1350000,5.00,440.00
1365000,5.00,432.00
1380000,5.00,436.00
1395000,5.00,436.00
1410000,5.00,432.00
1425000,5.00,440.00
1440000,5.00,432.00
1455000,5.00,440.00
1470000,5.00,432.00
1485000,5.00,440.00
1500000,5.00,432.00
1515000,5.00,440.00
1530000,5.00,432.00
1545000,5.00,432.00
1560000,5.00,440.00
1575000,5.00,432.00
1590000,5.00,440.00
1605000,5.00,432.00
1620000,5.00,440.00
1635000,5.00,432.00
1650000,5.00,436.00
1665000,5.00,436.00
1680000,5.00,432.00
1695000,5.00,440.00
1710000,5.00,432.00
1725000,5.00,440.00
1740000,5.00,432.00
1755000,5.00,440.00
1770000,5.00,436.00
1785000,5.00,436.00
1800000,5.00,432.00
1815000,5.00,440.00
1830000,5.00,432.00
1845000,5.00,440.00
1860000,5.00,432.00
1875000,5.00,440.00
1890000,5.00,432.00
1905000,5.00,440.00
1920000,5.00,432.00
1935000,5.00,436.00
1950000,5.00,436.00
1965000,5.00,432.00
1980000,5.00,440.00
1995000,5.00,432.00
2010000,5.00,440.00
2025000,5.00,432.00
2040000,5.00,436.00
2055000,5.00,436.00
2070000,5.00,432.00
2085000,5.00,436.00
2100000,5.00,436.00
2115000,5.00,432.00
2130000,5.00,432.00
2145000,5.00,440.00
2160000,5.00,432.00
2175000,5.00,432.00
2190000,5.00,440.00
2205000,5.00,432.00
2220000,5.00,432.00
2235000,5.00,432.00
2250000,5.00,440.00
2265000,5.00,432.00
2280000,5.00,432.00
2295000,5.00,432.00
2310000,5.00,432.00
2325000,5.00,440.00
2340000,5.00,432.00
2355000,5.00,432.00
2370000,5.00,432.00
2385000,5.00,440.00
2400000,5.00,432.00
2415000,5.00,432.00
2430000,5.00,432.00
2445000,5.00,432.00
2460000,5.00,440.00
2475000,5.00,432.00
2490000,5.00,432.00
2505000,5.00,432.00
2520000,5.00,432.00
2535000,5.00,436.00
2550000,5.00,436.00
2565000,5.00,432.00
2580000,5.00,432.00
2595000,5.00,432.00
2610000,5.00,432.00
2625000,5.00,432.00
2640000,5.00,436.00
2655000,5.00,436.00
2670000,5.00,432.00
2685000,5.00,432.00
2700000,5.00,432.00
2715000,5.00,432.00
2730000,5.00,440.00
2745000,5.00,432.00
2760000,5.00,432.00
2775000,5.00,432.00
2790000,5.00,432.00
2805000,5.00,440.00
2820000,5.00,432.00
2835000,5.00,432.00
2850000,5.00,432.00
2865000,5.00,432.00
2880000,5.00,432.00
2895000,5.00,432.00
2910000,5.00,432.00
2925000,5.00,432.00
2940000,5.00,432.00
2955000,5.00,440.00
2970000,5.00,432.00
2985000,5.00,432.00
3000000,5.00,432.00
3015000,5.00,432.00
3030000,5.00,432.00
3045000,5.00,432.00
3060000,5.00,432.00
3075000,5.00,440.00
3090000,5.00,432.00
3105000,5.00,432.00
3120000,5.00,432.00
3135000,5.00,432.00
3150000,5.00,432.00
3165000,5.00,432.00
3180000,5.00,432.00
3195000,5.00,432.00
3210000,5.00,432.00
3225000,5.00,432.00
3240000,5.00,432.00
3255000,5.00,432.00
3270000,5.00,432.00
3285000,5.00,432.00
3300000,5.00,440.00
3315000,5.00,432.00
3330000,5.00,432.00
3345000,5.00,432.00
3360000,5.00,440.00
3375000,5.00,432.00
3390000,5.00,432.00
